theta,intensidad
5,94.67
5.2,88
5.4,90.67
5.8,96
6,96
6.2,92
6.4,92
6.7,94.67
7.1,113.33
7.3,137.33
7.5,165.33
7.9,170.67
8.1,154.67
8.3,166.67
8.6,176.67
8.9,180
9.3,180
9.5,196
9.8,198.67
10.3,191.33
10.6,192
10.8,212
11,184
11.4,206.67
11.8,202.67
12,216
12.2,190.67
12.5,210.67
13,209.33
13.3,180.67
13.5,192
13.7,170.67
14.1,178.67
14.5,180.67
14.9,177.33
15.2,175.33
15.6,153.33
16,171.33
16.2,145.33
16.5,166.67
16.9,177.33
17,178.67
17.2,158.67
17.6,144
18,154.67
18.3,151.33
18.7,157.33
19,205.33
19.3,320
19.5,560
19.9,372.67
20.3,159.33
20.7,142.67
21,224
21.4,842.67
21.9,1750
22.3,198.67
22.6,144
23,127.33
23.3,118.67
23.7,126
24.1,113.33
24.5,118.67
25,106.67
25.3,112.67
25.7,104.67
26.1,108
26.5,104
26.8,96
27.2,94.67
27.7,95.33
28,92
28.4,97.33
28.8,94.67
29.2,105.33
29.6,98
30,99.33
30.3,99.33
30.8,97.33
31.1,98.67
31.6,93.33
32.1,91.33
32.4,90.67
32.7,96.67
33.2,94.67
33.5,88
33.9,92.67
34.3,90.67
34.7,94.67
35,86.67
35.4,94
35.8,90
36.2,91.33
36.6,86.67
37,88
37.4,95.33
37.8,87.33
38.2,88
38.6,87.33
39,88.67
39.4,86.67
39.8,88
40.2,86
40.6,84.67
41,90.67
41.3,87.33
41.7,90
41.9,93.33
42.4,119.33
42.9,99.33
43,85.33
43.2,92
43.4,88.33
43.4,88
43.4,87.47
43.4,87.82